2353,74,50.0,2020-12-12T12:22:25.000-03:00
2352,74,10.0,2020-12-12T12:22:25.000-03:00
2346,74,10.0,2020-12-12T11:56:14.000-03:00
2345,74,50.0,2020-12-12T11:56:14.000-03:00
2339,523,10.0,2020-12-11T23:15:33.000-03:00
2338,523,50.0,2020-12-11T23:15:32.000-03:00
2330,74,10.0,2020-12-11T22:53:00.000-03:00
2323,73,10.0,2020-12-11T22:20:32.000-03:00
2313,73,10.0,2020-12-11T21:56:47.000-03:00
2292,73,10.0,2020-12-11T21:22:49.000-03:00
2291,74,16.67,2020-12-11T21:22:49.000-03:00
2290,73,16.67,2020-12-11T21:22:49.000-03:00
2276,73,10.0,2020-12-11T20:59:49.000-03:00
2259,73,10.0,2020-12-11T20:30:33.000-03:00
2258,73,50.0,2020-12-11T20:30:33.000-03:00
2241,73,10.0,2020-12-11T20:08:25.000-03:00
2228,74,10.0,2020-12-11T19:23:56.000-03:00
2227,74,50.0,2020-12-11T19:23:56.000-03:00
2210,370,50.0,2020-12-11T10:12:38.000-03:00
2208,74,50.0,2020-12-10T23:51:13.000-03:00
2207,74,10.0,2020-12-10T23:51:13.000-03:00
2199,73,50.0,2020-12-10T23:14:58.000-03:00
2198,73,5.0,2020-12-10T23:14:58.000-03:00
2197,73,5.0,2020-12-10T23:14:58.000-03:00
2163,523,12.5,2020-12-10T21:33:10.000-03:00
2155,73,10.0,2020-12-10T20:57:53.000-03:00
2152,73,25.0,2020-12-10T20:25:54.000-03:00
2151,73,25.0,2020-12-10T20:25:54.000-03:00
2150,74,10.0,2020-12-10T20:25:54.000-03:00
2135,74,9.34,2020-12-10T12:23:59.000-03:00
2134,522,20.0,2020-12-10T07:20:14.000-03:00
2133,73,828.95,2020-12-09T23:29:27.000-03:00
2132,73,240.79,2020-12-09T23:29:27.000-03:00
2131,74,10.0,2020-12-09T23:07:18.000-03:00
2118,73,10.0,2020-12-09T21:59:11.000-03:00
2117,74,50.0,2020-12-09T21:59:11.000-03:00
2105,523,10.0,2020-12-09T21:25:16.000-03:00
2099,522,20.0,2020-12-09T20:23:19.000-03:00
2087,74,10.0,2020-12-09T19:11:16.000-03:00
2086,74,50.0,2020-12-09T19:11:16.000-03:00
2077,74,10.0,2020-12-09T18:36:39.000-03:00
2069,74,16.67,2020-12-09T18:07:24.000-03:00
2068,74,16.67,2020-12-09T18:07:24.000-03:00
2067,74,5.0,2020-12-09T18:07:24.000-03:00
2057,523,20.0,2020-12-08T23:37:12.000-03:00
2047,73,20.0,2020-12-08T23:07:02.000-03:00
2039,74,100.0,2020-12-08T22:36:38.000-03:00
2031,74,20.0,2020-12-08T22:07:18.000-03:00
2015,523,10.0,2020-12-08T21:08:01.000-03:00
2006,523,50.0,2020-12-08T20:37:58.000-03:00
2005,74,20.0,2020-12-08T20:37:58.000-03:00
1997,74,50.0,2020-12-08T20:07:37.000-03:00
1989,74,100.0,2020-12-08T19:36:39.000-03:00
1978,523,10.0,2020-12-08T19:07:03.000-03:00
1957,523,550.0,2020-12-08T17:38:54.000-03:00
1951,73,14.9,2020-12-08T13:35:01.000-03:00
1940,73,50.0,2020-12-06T20:31:02.000-03:00
1939,73,20.0,2020-12-06T20:30:52.000-03:00
1938,73,10.0,2020-12-06T20:30:41.000-03:00
1937,73,5.0,2020-12-06T20:30:28.000-03:00
1934,522,50.0,2020-12-06T09:55:35.000-03:00
1925,74,5.5,2020-12-05T12:08:25.000-03:00
1811,515,8.21,2020-12-01T18:24:29.000-03:00
1810,370,50.0,2020-12-01T18:23:19.000-03:00
1808,515,22.0,2020-12-01T18:22:56.000-03:00
1804,73,200.0,2020-12-01T17:59:26.000-03:00
1802,515,50.0,2020-12-01T17:56:33.000-03:00
1799,515,100.0,2020-12-01T16:56:42.000-03:00
1794,74,100.0,2020-12-01T10:11:09.000-03:00
1758,73,209.18,2020-11-30T00:12:42.000-03:00
1706,2,100.0,2020-11-29T20:33:49.000-03:00
1694,515,11.17,2020-11-29T13:46:50.000-03:00
1692,515,200.0,2020-11-29T12:15:48.000-03:00
1687,515,19.38,2020-11-28T23:17:22.000-03:00
1684,515,250.0,2020-11-28T18:28:14.000-03:00
1682,431,1100.0,2020-11-28T17:31:06.000-03:00
1680,515,129.0,2020-11-28T16:53:13.000-03:00
1677,515,1000.0,2020-11-28T16:39:39.000-03:00
1653,2,1.0,2020-11-27T18:27:07.000-03:00
1652,2,1.0,2020-11-27T18:26:58.000-03:00
1651,2,1.0,2020-11-27T18:26:48.000-03:00
1650,2,1.0,2020-11-27T18:26:38.000-03:00
1649,2,1.0,2020-11-27T18:26:26.000-03:00
1648,2,1.0,2020-11-27T18:26:15.000-03:00
1647,2,1.0,2020-11-27T18:26:02.000-03:00
1646,2,1.0,2020-11-27T18:25:50.000-03:00
1642,74,1.0,2020-11-27T16:55:04.000-03:00
1639,2,100.0,2020-11-27T14:04:26.000-03:00
1627,515,190.0,2020-11-26T16:48:26.000-03:00
1599,515,100.4,2020-11-25T21:10:08.000-03:00
1590,4,19.0,2020-11-25T10:19:10.000-03:00
1589,4,1000.0,2020-11-25T10:18:59.000-03:00
1588,4,1.0,2020-11-25T10:18:49.000-03:00
1587,4,1000.0,2020-11-25T10:18:24.000-03:00
1586,4,100.0,2020-11-25T10:18:14.000-03:00
1585,4,100.0,2020-11-25T10:18:05.000-03:00
1584,4,100.0,2020-11-25T10:17:55.000-03:00
1583,4,10.0,2020-11-25T10:17:46.000-03:00
1582,4,1.0,2020-11-25T10:17:22.000-03:00
1581,4,1.0,2020-11-25T10:16:55.000-03:00
1580,4,1.0,2020-11-25T10:16:51.000-03:00
1579,4,1.0,2020-11-25T10:16:32.000-03:00
4861,695,50.0,2021-08-08T14:49:47.000-03:00
4850,695,50.0,2021-08-02T18:18:21.000-03:00
4831,205,22.38,2021-07-29T21:54:31.000-03:00
4813,719,100.0,2021-07-29T01:32:09.000-03:00
4812,205,27.9,2021-07-28T23:28:39.000-03:00
